species_id,taxgroup_id
272557,2157
272557,28889
272557,183924
272557,114380
272557,2272
272557,56635
272557,56636
415426,2157
415426,28889
415426,183924
415426,114380
415426,2307
415426,54247
415426,54248
397948,2157
397948,28889
397948,183924
397948,2266
397948,2267
397948,76886
397948,76887
453591,2157
453591,28889
453591,183924
453591,114380
453591,2272
453591,54258
453591,160233
399550,2157
399550,28889
399550,183924
399550,114380
399550,2272
399550,2279
399550,2280
399549,2157
399549,28889
399549,183924
399549,2281
399549,118883
399549,41980
399549,43687
330779,2157
330779,28889
330779,183924
330779,2281
330779,118883
330779,2284
330779,2285
273063,2157
273063,28889
273063,183924
273063,2281
273063,118883
273063,69655
273063,111955
410359,2157
410359,28889
410359,183924
410359,2266
410359,2267
410359,2276
410359,181486
368408,2157
368408,28889
368408,183924
368408,2266
368408,114378
368408,2268
368408,2269
190192,2157
190192,28890
190192,183988
190192,68985
190192,183713
190192,2319
190192,2320
224325,2157
224325,28890
224325,183980
224325,2231
224325,2232
224325,2233
224325,2234
272569,2157
272569,28890
272569,183963
272569,2235
272569,1963268
272569,2237
272569,2238
64091,2157
64091,28890
64091,183963
64091,2235
64091,2236
64091,2239
64091,2242
309800,2157
309800,28890
309800,183963
309800,1644055
309800,1644056
309800,2251
309800,2246
362976,2157
362976,28890
362976,183963
362976,1644055
362976,1644056
362976,293431
362976,293091
416348,2157
416348,28890
416348,183963
416348,1644055
416348,1963271
416348,56688
416348,2247
348780,2157
348780,28890
348780,183963
348780,2235
348780,1963268
348780,63743
348780,2257
339860,2157
339860,28890
339860,183925
339860,2158
339860,2159
339860,2316
339860,2317
187420,2157
187420,28890
187420,183925
187420,2158
187420,2159
187420,145260
187420,145262
243232,2157
243232,28890
243232,183939
243232,2182
243232,196117
243232,196118
243232,2190
419665,2157
419665,28890
419665,183939
419665,2182
419665,2183
419665,2184
419665,42879
410358,2157
410358,28890
410358,224756
410358,2191
410358,88404
410358,2192
410358,83984
368407,2157
368407,28890
368407,224756
368407,2191
368407,2194
368407,45989
368407,2198
456442,2157
456442,28890
456442,224756
456442,2191
456442,1198451
456442,395331
456442,358766
323259,2157
323259,28890
323259,224756
323259,2191
323259,196137
323259,2202
323259,2203
259564,2157
259564,28890
259564,224756
259564,94695
259564,2206
259564,2225
259564,29291
349307,2157
349307,28890
349307,224756
349307,94695
349307,143067
349307,2222
349307,2224
188937,2157
188937,28890
188937,224756
188937,94695
188937,2206
188937,2207
188937,2214
269797,2157
269797,28890
269797,224756
269797,94695
269797,2206
269797,2207
269797,2208
192952,2157
192952,28890
192952,224756
192952,94695
192952,2206
192952,2207
192952,2209
228908,2157
228908,192989
228908,1890940
228908,1890941
228908,193568
228908,160232
186497,2157
186497,28890
186497,183968
186497,2258
186497,2259
186497,2260
186497,2261
69014,2157
69014,28890
69014,183968
69014,2258
69014,2259
69014,2263
69014,311400
263820,2157
263820,28890
263820,183967
263820,2301
263820,46630
263820,46631
263820,82076
273116,2157
273116,28890
273116,183967
273116,2301
273116,46659
273116,2302
273116,50339
575564,2
575564,1224
575564,1236
575564,72274
575564,468
575564,469
575564,106654
176299,2
176299,1224
176299,28211
176299,356
176299,82115
176299,357
176299,1176649
240292,2
240292,1117
240292,1161
240292,1162
240292,264688
240292,264691
62928,2
62928,1224
62928,28216
62928,206389
62928,2008794
62928,12960
198094,2
198094,1239
198094,91061
198094,1385
198094,186817
198094,1386
198094,1392
226186,2
226186,976
226186,200643
226186,171549
226186,815
226186,816
226186,818
283166,2
283166,1224
283166,28211
283166,356
283166,772
283166,773
283166,38323
205913,2
205913,201174
205913,1760
205913,85004
205913,31953
205913,1678
205913,216816
203907,2
203907,1224
203907,1236
203907,91347
203907,543
203907,203804
224911,2
224911,1224
224911,28211
224911,356
224911,41294
224911,374
224911,1355477
563178,2
563178,1224
563178,1236
563178,91347
563178,1903409
563178,32199
563178,9
269483,2
269483,1224
269483,28216
269483,80840
269483,119060
269483,32008
565050,2
565050,1224
565050,28211
565050,204458
565050,76892
565050,75
565050,155892
227941,2
227941,204428
227941,204429
227941,51291
227941,809
227941,810
227941,83557
194439,2
194439,1090
194439,191410
194439,191411
194439,191412
194439,256319
194439,1097
227377,2
227377,1224
227377,1236
227377,118969
227377,118968
227377,776
227377,777
165597,2
165597,1117
165597,1118
165597,1890450
165597,263510
165597,263511
269798,2
269798,976
269798,768503
269798,768507
269798,89373
269798,978
269798,985
159087,2
159087,1224
159087,28216
159087,206389
159087,2008795
159087,73029
159087,259537
243164,2
243164,200795
243164,301297
243164,1202465
243164,1202464
243164,61434
243164,61435
243230,2
243230,1297
243230,188787
243230,118964
243230,183710
243230,1298
243230,1299
511145,2
511145,1224
511145,1236
511145,91347
511145,543
511145,561
511145,562
190304,2
190304,32066
190304,203490
190304,203491
190304,203492
190304,848
190304,851
235909,2
235909,1239
235909,91061
235909,1385
235909,186817
235909,129337
235909,1462
663917,2
663917,1224
663917,28221
663917,69541
663917,213422
663917,28231
663917,35554
251221,2
251221,1117
251221,307596
251221,307595
251221,1890422
251221,33071
251221,33072
290633,2
290633,1224
290633,28211
290633,204441
290633,433
290633,441
290633,442
71421,2
71421,1224
71421,1236
71421,135625
71421,712
71421,724
71421,727
235279,2
235279,1224
235279,29547
235279,213849
235279,72293
235279,209
235279,32025
297245,2
297245,1224
297245,1236
297245,118969
297245,444
297245,445
297245,446
281090,2
281090,201174
281090,1760
281090,85006
281090,85023
281090,110932
281090,1575
169963,2
169963,1239
169963,91061
169963,1385
169963,186820
169963,1637
169963,1639
156889,2
156889,1224
156889,28211
156889,1191478
156889,1191479
156889,162171
156889,1124597
272627,2
272627,1224
272627,28211
272627,204441
272627,41295
272627,13134
272627,188
265311,2
265311,544448
265311,31969
265311,186328
265311,33925
265311,46239
265311,2151
272631,2
272631,201174
272631,1760
272631,85007
272631,1762
272631,1763
272631,1769
242231,2
242231,1224
242231,28216
242231,206351
242231,481
242231,482
242231,485
228410,2
228410,1224
228410,28216
228410,32003
228410,206379
228410,914
228410,915
279238,2
279238,1224
279238,28211
279238,204457
279238,41297
279238,165696
279238,48935
221109,2
221109,1239
221109,91061
221109,1385
221109,186817
221109,182709
221109,182710
243265,2
243265,1224
243265,1236
243265,91347
243265,1903414
243265,29487
243265,2218628
296591,2
296591,1224
296591,28216
296591,80840
296591,80864
296591,52972
242619,2
242619,976
242619,200643
242619,171549
242619,171551
242619,836
242619,837
267747,2
267747,201174
267747,1760
267747,85009
267747,31957
267747,1912216
267747,1747
208963,2
208963,1224
208963,1236
208963,72274
208963,135621
208963,286
208963,287
264198,2
264198,1224
264198,28216
264198,80840
264198,119060
264198,106589
264198,248026
349102,2
349102,1224
349102,28211
349102,204455
349102,31989
349102,1060
349102,1063
243090,2
243090,203682
243090,203683
243090,112
243090,126
243090,265488
243090,265606
211586,2
211586,1224
211586,1236
211586,135622
211586,267890
211586,22
211586,70863
266834,2
266834,1224
266834,28211
266834,356
266834,82115
266834,28105
266834,382
282458,2
282458,1239
282458,91061
282458,1385
282458,90964
282458,1279
282458,1280
171101,2
171101,1239
171101,91061
171101,186826
171101,1300
171101,1301
171101,1313
100226,2
100226,201174
100226,1760
100226,85011
100226,2062
100226,1883
100226,1902
292459,2
292459,1239
292459,186801
292459,186802
292459,543349
292459,2733
292459,2734
91464,2
91464,1117
91464,1890424
91464,1890426
91464,1129
1080228,2
1080228,1117
1080228,1890424
1080228,1890428
1080228,1142
1080228,1148
273068,2
273068,1239
273068,186801
273068,68295
273068,186814
273068,249529
273068,911092
197221,2
197221,1117
197221,1890424
197221,1890426
197221,146785
197221,146786
243274,2
243274,200918
243274,188708
243274,2419
243274,188709
243274,2335
243274,2336
262724,2
262724,1297
262724,188787
262724,68933
262724,188786
262724,270
262724,274
243276,2
243276,203691
243276,203692
243276,136
243276,137
243276,157
243276,160
203267,2
203267,201174
203267,1760
203267,85006
203267,2038
203267,2039
243277,2
243277,1224
243277,1236
243277,135623
243277,641
243277,662
243277,666
292805,2
292805,1224
292805,28211
292805,766
292805,942
292805,953
292805,80849
190486,2
190486,1224
190486,1236
190486,135614
190486,32033
190486,338
190486,346
214092,2
214092,1224
214092,1236
214092,91347
214092,1903411
214092,629
214092,632
555217,2
555217,1224
555217,28211
555217,204457
555217,41297
555217,541
555217,542
104782,2759
104782,10190
104782,44578
104782,104779
104782,104780
104782,104781
7160,2759
7160,6656
7160,50557
7160,7147
7160,7157
7160,7158
180454,2759
180454,6656
180454,50557
180454,7147
180454,7157
180454,7164
180454,7165
